NaceCodeGroup,EntityCount,Description
47,239065,Commerce de détail
43,186269,Travaux de construction spécialisés
82,150687,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises"
70,144354,Activités des sièges sociaux et conseil de gestion
46,125921,Commerce de gros
96,99389,Activités de services aux personnes
85,89632,Enseignement
68,89615,Activités immobilières
86,84928,Activités pour la santé humaine
56,78735,Activités de service de restauration
81,75594,Activités de services pour les bâtiments et l’aménagement paysager
73,75102,"Activités de publicité, d’études de marché et de relations publiques"
74,73714,"Autres activités spécialisées, scientifiques et techniques"
62,72848,"Programmation, conseil et autres activités informatiques"
71,59274,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques
90,55066,Activités de création artistique et de spectacle
95,48484,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles"
93,48096,Activités sportives et activités récréatives et de loisirs
64,46321,"Activités de services financiers, hors assurance et fonds de pension"
69,45246,Activités juridiques et comptables
41,44763,Construction de bâtiments résidentiels et non résidentiels
63,38234,"Infrastructure informatique, traitement de données et autres activités de service d'information"
49,31429,Transports terrestres et transports par conduites
77,31130,Activités de location et location-bail
15,25514,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières"
16,23992,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie"
14,21720,Industrie de l’habillement
33,20739,"Réparation, entretien et installation de machines et d’équipements"
25,19704,"Fabrication de produits métalliques, à l’exception des machines et des équipements"
42,16545,Génie civil
59,16326,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale"
11,16266,Fabrication de boissons
66,14999,Activités auxiliaires d’activités de services financiers et d’assurance
52,14487,Entreposage et services auxiliaires des transports
10,14152,Industries alimentaires
18,12953,Imprimerie et reproduction d’enregistrements
55,12938,Hébergement
32,11069,Autres industries manufacturières
94,10843,Activités des organisations associatives
53,10826,Activités de poste et de courrier
58,10808,Activités d’édition
31,9408,Fabrication de meubles
88,8084,Activités d’action sociale sans hébergement
13,7384,Fabrication de textiles
78,7265,Activités liées à l’emploi
79,6793,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes"
22,6531,Fabrication de produits en caoutchouc et en plastique
75,6077,Activités vétérinaires
23,5309,Fabrication d’autres produits minéraux non métalliques
72,4887,Recherche et développement scientifique
97,4813,Activités des ménages en tant qu’employeurs de personnel domestique
28,4634,Fabrication de machines et équipements nca
61,4390,Télécommunications
12,4270,Fabrication de produits à base de tabac
35,3310,"Production et distribution d’électricité, de gaz, de vapeur et d’air conditionné"
21,3155,Industrie pharmaceutique
38,2971,"Collecte, valorisation et élimination des déchets;"
27,2738,Fabrication d’équipements électriques
60,2595,"Activités de programmation, de diffusion, d’agence de presse et autres activités de distribution de contenu"
84,2589,Administration publique et défense; sécurité sociale obligatoire
24,2568,Métallurgie
20,2442,Industrie chimique
87,2383,Activités de soins en établissement résidentiel
80,2347,Activités d’investigation et de sécurité
26,2273,"Fabrication de produits informatiques, électroniques et optiques"
92,2007,Activités de jeux d’argent et de paris
50,1974,Transport par eau
91,1805,"Bibliothèques, archives, musées et autres activités culturelles"
29,1672,Industrie automobile
51,1152,Transports aériens
17,1005,Industrie du papier et du carton
30,861,Fabrication d’autres matériels de transport
37,784,Collecte et traitement des eaux usées
39,764,Activités de dépollution et autres activités de service de gestion des déchets
65,723,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire"
99,430,Activités des organisations et organismes extraterritoriaux
36,313,"Captage, traitement et distribution d’eau"
89,62,
19,51,Cokéfaction et raffinage
98,14,Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
