EnterpriseCount,BelgianMunicipality,Zipcode,Country
428786,Unknown,,BEL
74323,Antwerpen,2600,BEL
42054,Gent,9000,BEL
41236,Bruxelles,1000,BEL
23776,Liège,4000,BEL
22686,Ixelles,1050,BEL
19297,Charleroi,6010,BEL
18246,Brugge,8000,BEL
17316,Uccle,1180,BEL
15987,Schaerbeek,1030,BEL
15405,Hasselt,3500,BEL
15203,Anderlecht,1070,BEL
15174,Namur,5000,BEL
15072,Leuven,3000,BEL
13344,Kortrijk,8500,BEL
11270,Aalst,9320,BEL
11130,Mechelen,2800,BEL
10702,Mons,7000,BEL
10416,Roeselare,8800,BEL
9929,Molenbeek-Saint-Jean,1080,BEL
9794,Saint-Gilles,1060,BEL
9587,Sint-Niklaas,9100,BEL
9585,Beveren-Kruibeke-Zwijndrecht,2070,BEL
9240,Oostende,8400,BEL
9222,Tournai,7500,BEL
9199,Etterbeek,1040,BEL
8276,Forest,1190,BEL
8243,Woluwe-Saint-Lambert,1200,BEL
8211,Genk,3600,BEL
8097,Knokke-Heist,8300,BEL
7450,Deinze,9850,BEL
7261,La Louvière,7110,BEL
6893,Zaventem,1930,BEL
6769,Woluwe-Saint-Pierre,1150,BEL
6704,Waterloo,1410,BEL
6605,Dilbeek,1703,BEL
6594,Waregem,8790,BEL
6571,Wavre,1300,BEL
6522,Braine-l'Alleud,1420,BEL
6263,Jette,1090,BEL
6184,Mouscron,7700,BEL
6156,Lokeren,9180,BEL
6125,Brasschaat,2930,BEL
6039,Sint-Truiden,3800,BEL
6012,Verviers,4800,BEL
5910,Heist-op-den-Berg,2220,BEL
5783,Grimbergen,1853,BEL
5718,Geel,2440,BEL
5716,Asse,1730,BEL
5542,Tongeren-Borgloon,3840,BEL
5434,Beringen,3582,BEL
5423,Ieper,8900,BEL
5407,Turnhout,2300,BEL
5391,Auderghem,1160,BEL
5388,Bilzen-Hoeselt,3730,BEL
5273,Merelbeke-Melle,9820,BEL
5265,Dendermonde,9200,BEL
5241,Tielt,8700,BEL
5181,Seraing,4102,BEL
5087,Aalter,9910,BEL
5065,Nivelles,1400,BEL
4976,Vilvoorde,1800,BEL
4974,Schoten,2900,BEL
4925,Ottignies-Louvain-la-Neuve,1348,BEL
4918,Lier,2500,BEL
4896,Halle,1500,BEL
4845,Watermael-Boitsfort,1170,BEL
4768,Schilde,2970,BEL
4713,Heusden-Zolder,3550,BEL
4698,Oudenaarde,9700,BEL
4609,Sint-Pieters-Leeuw,1600,BEL
4599,Ninove,9400,BEL
4584,Tienen,3300,BEL
4474,Mol,2400,BEL
4420,Brecht,2960,BEL
4390,Aarschot,3200,BEL
4374,Lochristi,9080,BEL
4353,Maasmechelen,3630,BEL
4341,Evergem,9940,BEL
4316,Wevelgem,8560,BEL
4307,Lommel,3920,BEL
4294,Overijse,3090,BEL
4293,Evere,1140,BEL
4281,Izegem,8870,BEL
4280,Oostkamp,8020,BEL
4240,Pelt,3900,BEL
