NaceCodeGroup,CreationYear,EntityCount
47,After 2010,163231
43,After 2010,136545
82,After 2010,129734
70,After 2010,111666
85,After 2010,77930
96,After 2010,77087
46,After 2010,75639
74,After 2010,64070
73,After 2010,60044
81,After 2010,59075
62,After 2010,57996
86,After 2010,56406
56,After 2010,55848
47,1990-2009,55625
68,After 2010,55258
90,After 2010,44631
71,After 2010,42010
43,1990-2009,40842
46,1990-2009,36720
93,After 2010,36530
41,After 2010,34410
64,After 2010,34320
63,After 2010,33502
95,After 2010,32928
70,1990-2009,29358
69,After 2010,29169
68,1990-2009,24900
86,1990-2009,22447
49,After 2010,22376
77,After 2010,21222
47,1960-1989,19782
82,1990-2009,17941
33,After 2010,17467
56,1990-2009,17270
16,After 2010,17100
96,1990-2009,16969
71,1990-2009,14298
81,1990-2009,13860
62,1990-2009,13789
14,After 2010,13536
59,After 2010,13161
46,1960-1989,12916
69,1990-2009,12884
73,1990-2009,12761
25,After 2010,12518
42,After 2010,12130
95,1990-2009,11485
64,1990-2009,10353
52,After 2010,10228
66,After 2010,9957
10,After 2010,9344
15,1990-2009,9295
85,1990-2009,9250
53,After 2010,9152
11,After 2010,9127
18,After 2010,9068
68,1960-1989,8952
90,1990-2009,8719
43,1960-1989,8692
55,After 2010,8572
74,1990-2009,8469
93,1990-2009,8379
32,After 2010,8333
15,After 2010,8305
41,1990-2009,7986
15,1960-1989,7889
77,1990-2009,7888
58,After 2010,7716
49,1990-2009,6478
31,After 2010,6463
14,1990-2009,6222
86,1960-1989,6015
78,After 2010,5804
16,1990-2009,5341
56,1960-1989,5283
25,1990-2009,5280
88,After 2010,5271
96,1960-1989,5269
13,After 2010,5102
79,After 2010,5071
11,1990-2009,4990
94,After 2010,4520
63,1990-2009,4260
97,After 2010,4005
75,After 2010,4003
95,1960-1989,3984
66,1990-2009,3792
22,After 2010,3759
72,After 2010,3624
23,After 2010,3527
42,1990-2009,3452
10,1990-2009,3352
61,After 2010,3324
55,1990-2009,3215
70,1960-1989,3196
69,1960-1989,3149
18,1990-2009,3131
52,1990-2009,3111
93,1960-1989,2939
94,1990-2009,2919
71,1960-1989,2910
82,1960-1989,2842
59,1990-2009,2748
94,1960-1989,2739
33,1990-2009,2592
81,1960-1989,2589
12,After 2010,2576
58,1990-2009,2557
28,After 2010,2506
49,1960-1989,2474
35,After 2010,2441
41,1960-1989,2286
73,1960-1989,2210
85,1960-1989,2200
31,1990-2009,2129
11,1960-1989,2104
21,After 2010,2104
32,1990-2009,2001
75,1990-2009,1988
77,1960-1989,1927
14,1960-1989,1924
38,After 2010,1852
22,1990-2009,1840
25,1960-1989,1825
88,1990-2009,1758
27,After 2010,1692
80,After 2010,1642
13,1990-2009,1634
90,1960-1989,1620
60,After 2010,1617
24,After 2010,1556
20,After 2010,1543
16,1960-1989,1508
53,1990-2009,1499
64,1960-1989,1487
92,After 2010,1430
10,1960-1989,1375
28,1990-2009,1363
26,After 2010,1344
12,1990-2009,1327
