NaceCodeGroup,BelgianMunicipality,Zipcode,Country,EntityCount
86,Unknown,,BEL,17085
47,Unknown,,BEL,11336
47,Antwerpen,2060,BEL,11334
46,Unknown,,BEL,9727
68,Unknown,,BEL,8408
82,Antwerpen,2060,BEL,7624
93,Unknown,,BEL,7616
70,Antwerpen,2000,BEL,7410
46,Antwerpen,2030,BEL,6921
90,Unknown,,BEL,6364
82,Unknown,,BEL,5811
47,Gent,9040,BEL,5602
43,Antwerpen,2100,BEL,5536
56,Unknown,,BEL,5374
43,Unknown,,BEL,5321
47,Bruxelles,1000,BEL,5071
74,Antwerpen,2000,BEL,5026
82,Gent,9000,BEL,4984
85,Unknown,,BEL,4893
71,Unknown,,BEL,4787
73,Antwerpen,2060,BEL,4719
70,Gent,9050,BEL,4674
56,Antwerpen,2060,BEL,4615
70,Unknown,,BEL,4508
69,Unknown,,BEL,4484
97,Unknown,,BEL,4373
96,Antwerpen,2000,BEL,4323
68,Antwerpen,2000,BEL,4090
85,Antwerpen,2000,BEL,4083
90,Antwerpen,2100,BEL,3986
70,Bruxelles,1000,BEL,3896
47,Liège,4000,BEL,3868
62,Antwerpen,2600,BEL,3827
47,Charleroi,6060,BEL,3550
74,Gent,9050,BEL,3322
47,Brugge,8200,BEL,3239
43,Gent,9040,BEL,3167
73,Unknown,,BEL,3149
85,Gent,9000,BEL,3138
82,Bruxelles,1000,BEL,3120
90,Gent,9000,BEL,3117
96,Unknown,,BEL,3089
70,Ixelles,1050,BEL,3073
71,Antwerpen,2000,BEL,3061
43,Bruxelles,1120,BEL,3004
86,Antwerpen,2060,BEL,2842
15,Unknown,,BEL,2764
64,Antwerpen,2600,BEL,2761
62,Gent,9042,BEL,2737
94,Unknown,,BEL,2714
46,Gent,9000,BEL,2699
56,Bruxelles,1000,BEL,2697
70,Uccle,1180,BEL,2682
43,Anderlecht,1070,BEL,2674
73,Gent,9000,BEL,2672
46,Bruxelles,1120,BEL,2656
69,Antwerpen,2000,BEL,2634
47,Namur,5100,BEL,2598
47,Hasselt,3500,BEL,2579
47,Ixelles,1050,BEL,2574
56,Gent,9000,BEL,2536
68,Gent,9000,BEL,2503
63,Antwerpen,2600,BEL,2427
47,Anderlecht,1070,BEL,2379
71,Gent,9050,BEL,2355
96,Gent,9000,BEL,2344
73,Bruxelles,1000,BEL,2211
86,Gent,9000,BEL,2148
47,Kortrijk,8510,BEL,2141
82,Ixelles,1050,BEL,2139
49,Unknown,,BEL,2092
68,Bruxelles,1120,BEL,2087
74,Unknown,,BEL,2073
62,Bruxelles,1000,BEL,2055
47,Leuven,3010,BEL,2050
82,Brugge,8200,BEL,2038
69,Bruxelles,1000,BEL,2016
47,Roeselare,8800,BEL,1965
47,Aalst,9300,BEL,1951
47,Mechelen,2800,BEL,1934
41,Unknown,,BEL,1927
41,Antwerpen,2000,BEL,1883
47,Schaerbeek,1030,BEL,1882
47,Mons,7033,BEL,1876
73,Ixelles,1050,BEL,1852
47,Sint-Niklaas,9100,BEL,1845
49,Antwerpen,2018,BEL,1841
43,Charleroi,6060,BEL,1828
95,Antwerpen,2140,BEL,1816
47,Uccle,1180,BEL,1815
69,Ixelles,1050,BEL,1808
82,Kortrijk,8500,BEL,1806
81,Bruxelles,1000,BEL,1785
81,Antwerpen,2100,BEL,1784
82,Leuven,3001,BEL,1779
70,Leuven,3010,BEL,1773
82,Hasselt,3500,BEL,1769
56,Liège,4020,BEL,1751
70,Hasselt,3500,BEL,1742
62,Unknown,,BEL,1729
