NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
47,Commerce de détail,,,114590
70,Activités des sièges sociaux et conseil de gestion,610.0,,85628
43,Travaux de construction spécialisés,,,85218
47,Commerce de détail,610.0,,79464
96,Activités de services aux personnes,,,77904
43,Travaux de construction spécialisés,610.0,,73103
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",,,64024
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",610.0,,57314
85,Enseignement,,,55839
46,Commerce de gros,610.0,,53422
86,Activités pour la santé humaine,,,49156
68,Activités immobilières,610.0,,46952
81,Activités de services pour les bâtiments et l’aménagement paysager,,,45923
74,"Autres activités spécialisées, scientifiques et techniques",,,45720
62,"Programmation, conseil et autres activités informatiques",610.0,,37534
90,Activités de création artistique et de spectacle,,,34714
46,Commerce de gros,,,33670
56,Activités de service de restauration,610.0,,32997
73,"Activités de publicité, d’études de marché et de relations publiques",610.0,,32539
64,"Activités de services financiers, hors assurance et fonds de pension",610.0,,30692
86,Activités pour la santé humaine,610.0,,25898
56,Activités de service de restauration,,,25866
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,,,25792
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",,,25391
73,"Activités de publicité, d’études de marché et de relations publiques",,,24837
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,610.0,,23621
41,Construction de bâtiments résidentiels et non résidentiels,610.0,,22898
93,Activités sportives et activités récréatives et de loisirs,,,22501
70,Activités des sièges sociaux et conseil de gestion,,,22244
69,Activités juridiques et comptables,610.0,,21586
81,Activités de services pour les bâtiments et l’aménagement paysager,610.0,,20720
62,"Programmation, conseil et autres activités informatiques",,,20044
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",,,18940
74,"Autres activités spécialisées, scientifiques et techniques",610.0,,18641
85,Enseignement,610.0,,17453
69,Activités juridiques et comptables,,,16738
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",610.0,,16380
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",610.0,,15470
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",,,14858
49,Transports terrestres et transports par conduites,610.0,,14657
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",,,13716
68,Activités immobilières,14.0,,13709
14,Industrie de l’habillement,,,13519
46,Commerce de gros,14.0,,13478
96,Activités de services aux personnes,610.0,,13282
41,Construction de bâtiments résidentiels et non résidentiels,,,13154
47,Commerce de détail,15.0,,13010
77,Activités de location et location-bail,610.0,,12992
68,Activités immobilières,,,12820
47,Commerce de détail,14.0,,11241
70,Activités des sièges sociaux et conseil de gestion,612.0,,10798
77,Activités de location et location-bail,,,10673
93,Activités sportives et activités récréatives et de loisirs,610.0,,10143
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",612.0,,9823
43,Travaux de construction spécialisés,15.0,,9684
33,"Réparation, entretien et installation de machines et d’équipements",,,9591
93,Activités sportives et activités récréatives et de loisirs,17.0,,9433
11,Fabrication de boissons,,,9379
49,Transports terrestres et transports par conduites,,,9269
46,Commerce de gros,15.0,,8819
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",,,8686
66,Activités auxiliaires d’activités de services financiers et d’assurance,610.0,,8596
70,Activités des sièges sociaux et conseil de gestion,14.0,,8380
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",,,8174
70,Activités des sièges sociaux et conseil de gestion,15.0,,7959
33,"Réparation, entretien et installation de machines et d’équipements",610.0,,7910
90,Activités de création artistique et de spectacle,610.0,,7838
18,Imprimerie et reproduction d’enregistrements,,,7691
90,Activités de création artistique et de spectacle,17.0,,7301
32,Autres industries manufacturières,,,7157
85,Enseignement,17.0,,6955
94,Activités des organisations associatives,17.0,,6878
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",610.0,,6865
56,Activités de service de restauration,15.0,,6657
42,Génie civil,,,6592
46,Commerce de gros,30.0,,6438
52,Entreposage et services auxiliaires des transports,610.0,,6431
42,Génie civil,610.0,,6393
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",610.0,,6199
64,"Activités de services financiers, hors assurance et fonds de pension",14.0,,5685
53,Activités de poste et de courrier,,,5574
10,Industries alimentaires,,,5494
56,Activités de service de restauration,17.0,,5491
10,Industries alimentaires,610.0,,5406
73,"Activités de publicité, d’études de marché et de relations publiques",612.0,,5271
68,Activités immobilières,15.0,,5184
47,Commerce de détail,612.0,,5111
55,Hébergement,,,5092
31,Fabrication de meubles,,,5084
43,Travaux de construction spécialisés,14.0,,4978
97,Activités des ménages en tant qu’employeurs de personnel domestique,,,4708
55,Hébergement,610.0,,4541
43,Travaux de construction spécialisés,612.0,,4526
62,"Programmation, conseil et autres activités informatiques",612.0,,4477
13,Fabrication de textiles,,,4476
59,"Production de films cinématographiques, de vidéos et de programmes de télévision; enregistrement sonore et édition musicale",610.0,,4375
47,Commerce de détail,11.0,,4372
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",15.0,,4298
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",14.0,,4159
58,Activités d’édition,,,4064
58,Activités d’édition,610.0,,4049
52,Entreposage et services auxiliaires des transports,,,4043
14,Industrie de l’habillement,610.0,,4031
85,Enseignement,612.0,,3972
62,"Programmation, conseil et autres activités informatiques",15.0,,3874
53,Activités de poste et de courrier,610.0,,3785
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",,,3720
78,Activités liées à l’emploi,610.0,,3717
22,Fabrication de produits en caoutchouc et en plastique,,,3596
73,"Activités de publicité, d’études de marché et de relations publiques",15.0,,3533
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",11.0,,3519
75,Activités vétérinaires,,,3405
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",17.0,,3399
74,"Autres activités spécialisées, scientifiques et techniques",612.0,,3391
47,Commerce de détail,30.0,,3378
64,"Activités de services financiers, hors assurance et fonds de pension",612.0,,3372
46,Commerce de gros,612.0,,3338
88,Activités d’action sociale sans hébergement,17.0,,3334
86,Activités pour la santé humaine,612.0,,3234
70,Activités des sièges sociaux et conseil de gestion,11.0,,3183
11,Fabrication de boissons,610.0,,3127
18,Imprimerie et reproduction d’enregistrements,610.0,,3112
70,Activités des sièges sociaux et conseil de gestion,12.0,,3081
88,Activités d’action sociale sans hébergement,,,2974
62,"Programmation, conseil et autres activités informatiques",14.0,,2946
31,Fabrication de meubles,610.0,,2910
47,Commerce de détail,17.0,,2809
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",721.0,,2797
43,Travaux de construction spécialisés,11.0,,2783
63,"Infrastructure informatique, traitement de données et autres activités de service d'information",612.0,,2701
41,Construction de bâtiments résidentiels et non résidentiels,15.0,,2652
81,Activités de services pour les bâtiments et l’aménagement paysager,15.0,,2603
73,"Activités de publicité, d’études de marché et de relations publiques",14.0,,2594
23,Fabrication d’autres produits minéraux non métalliques,,,2590
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,15.0,,2561
32,Autres industries manufacturières,610.0,,2482
64,"Activités de services financiers, hors assurance et fonds de pension",15.0,,2465
12,Fabrication de produits à base de tabac,,,2390
68,Activités immobilières,612.0,,2376
77,Activités de location et location-bail,14.0,,2367
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",14.0,,2360
69,Activités juridiques et comptables,15.0,,2295
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",15.0,,2295
46,Commerce de gros,11.0,,2269
72,Recherche et développement scientifique,610.0,,2251
41,Construction de bâtiments résidentiels et non résidentiels,14.0,,2205
49,Transports terrestres et transports par conduites,15.0,,2203
56,Activités de service de restauration,11.0,,2130
68,Activités immobilières,3.0,,2128
96,Activités de services aux personnes,612.0,,2127
28,Fabrication de machines et équipements nca,610.0,,2111
61,Télécommunications,,,2075
73,"Activités de publicité, d’études de marché et de relations publiques",17.0,,2037
75,Activités vétérinaires,610.0,,1980
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,612.0,,1976
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,14.0,,1967
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",12.0,,1951
49,Transports terrestres et transports par conduites,14.0,,1944
52,Entreposage et services auxiliaires des transports,14.0,,1853
56,Activités de service de restauration,14.0,,1851
96,Activités de services aux personnes,15.0,,1838
90,Activités de création artistique et de spectacle,612.0,,1824
73,"Activités de publicité, d’études de marché et de relations publiques",11.0,,1770
