EnterpriseCount,NaceCodeGroup,JuridicalForm,Code,Description
5392,11,,,
1052,11,610.0,610,Société à responsabilité limitée
868,11,721.0,721,Société ou association sans personnalité juridique
669,11,612.0,612,Société en commandite
197,11,14.0,014,Société anonyme
108,11,11.0,011,Société en nom collectif
97,11,15.0,015,Société privée à responsabilité limitée
43,11,30.0,030,Entité étrangère
42,11,25.0,025,Société agricole
39,11,12.0,012,Société en commandite simple
27,11,706.0,706,Société coopérative
25,11,17.0,017,Association sans but lucratif
12,11,3.0,003,Unité TVA
11,11,8.0,008,Société coopérative à responsabilité limitée
6,11,6.0,006,Société coopérative à responsabilité illimitée
3,11,722.0,722,Association momentanée
1,11,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,11,124.0,124,Etablissement public
1,11,114.0,114,Société anonyme de droit public
1,11,26.0,026,Fondation privée
1,11,16.0,016,Société coopérative (ancien statut)
1,11,13.0,013,Société en commandite par actions
11,11,,,
4,11,610.0,610,Société à responsabilité limitée
2,11,721.0,721,Société ou association sans personnalité juridique
2,11,612.0,612,Société en commandite
2,11,15.0,015,Société privée à responsabilité limitée
1,11,706.0,706,Société coopérative
1,11,14.0,014,Société anonyme
4316,11,,,
1274,11,610.0,610,Société à responsabilité limitée
557,11,721.0,721,Société ou association sans personnalité juridique
400,11,612.0,612,Société en commandite
130,11,14.0,014,Société anonyme
129,11,15.0,015,Société privée à responsabilité limitée
102,11,11.0,011,Société en nom collectif
97,11,17.0,017,Association sans but lucratif
59,11,706.0,706,Société coopérative
38,11,12.0,012,Société en commandite simple
21,11,30.0,030,Entité étrangère
20,11,25.0,025,Société agricole
13,11,3.0,003,Unité TVA
4,11,508.0,508,Société coopérative à responsabilité limitée à finalité sociale
4,11,8.0,008,Société coopérative à responsabilité limitée
3,11,412.0,412,Centre public d'action sociale
3,11,6.0,006,Société coopérative à responsabilité illimitée
2,11,125.0,125,Association internationale sans but lucratif
1,11,235.0,235,Entité étrangère sans établissement belge avec représentant responsable TVA
1,11,117.0,117,Association sans but lucratif de droit public
1,11,16.0,016,Société coopérative (ancien statut)
24,11,,,
4,11,610.0,610,Société à responsabilité limitée
2,11,721.0,721,Société ou association sans personnalité juridique
1,11,612.0,612,Société en commandite
1,11,30.0,030,Entité étrangère
1,11,25.0,025,Société agricole
1,11,11.0,011,Société en nom collectif
9,11,,,
6,11,610.0,610,Société à responsabilité limitée
1,11,17.0,017,Association sans but lucratif
324,11,,,
90,11,610.0,610,Société à responsabilité limitée
49,11,721.0,721,Société ou association sans personnalité juridique
32,11,612.0,612,Société en commandite
14,11,14.0,014,Société anonyme
11,11,11.0,011,Société en nom collectif
5,11,15.0,015,Société privée à responsabilité limitée
3,11,12.0,012,Société en commandite simple
2,11,706.0,706,Société coopérative
2,11,25.0,025,Société agricole
1090,11,,,
619,11,610.0,610,Société à responsabilité limitée
78,11,14.0,014,Société anonyme
50,11,15.0,015,Société privée à responsabilité limitée
45,11,612.0,612,Société en commandite
43,11,721.0,721,Société ou association sans personnalité juridique
34,11,11.0,011,Société en nom collectif
20,11,17.0,017,Association sans but lucratif
11,11,706.0,706,Société coopérative
10,11,3.0,003,Unité TVA
5,11,12.0,012,Société en commandite simple
2,11,25.0,025,Société agricole
1,11,340.0,340,Autorité de la Communauté française
1,11,8.0,008,Société coopérative à responsabilité limitée
828,11,,,
196,11,610.0,610,Société à responsabilité limitée
89,11,721.0,721,Société ou association sans personnalité juridique
78,11,612.0,612,Société en commandite
36,11,14.0,014,Société anonyme
28,11,11.0,011,Société en nom collectif
15,11,17.0,017,Association sans but lucratif
9,11,30.0,030,Entité étrangère
9,11,15.0,015,Société privée à responsabilité limitée
7,11,706.0,706,Société coopérative
7,11,25.0,025,Société agricole
5,11,12.0,012,Société en commandite simple
3,11,3.0,003,Unité TVA
1,11,114.0,114,Société anonyme de droit public
1,11,8.0,008,Société coopérative à responsabilité limitée
262,12,,,
207,12,610.0,610,Société à responsabilité limitée
23,12,612.0,612,Société en commandite
22,12,11.0,011,Société en nom collectif
18,12,721.0,721,Société ou association sans personnalité juridique
16,12,14.0,014,Société anonyme
13,12,17.0,017,Association sans but lucratif
12,12,706.0,706,Société coopérative
12,12,15.0,015,Société privée à responsabilité limitée
4,12,3.0,003,Unité TVA
2,12,30.0,030,Entité étrangère
2,12,25.0,025,Société agricole
1,12,12.0,012,Société en commandite simple
25,12,,,
18,12,610.0,610,Société à responsabilité limitée
3,12,612.0,612,Société en commandite
